"Refs","Value","Footprint","Qty","DNP"
"C1","18p","Capacitor_SMD:C_0402_1005Metric","1",""
"C2","18p","Capacitor_SMD:C_0402_1005Metric","1",""
"C3","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C4","10u","Capacitor_SMD:C_0402_1005Metric","1",""
"C5","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C6","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C7","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C8","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C9","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C10","4u7","Capacitor_SMD:C_0402_1005Metric","1",""
"C11","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"C12","2u2","Capacitor_SMD:C_0402_1005Metric","1",""
"C13","1u","Capacitor_SMD:C_0402_1005Metric","1",""
"C14","10u","Capacitor_SMD:C_0402_1005Metric","1",""
"C15","100n","Capacitor_SMD:C_0402_1005Metric","1",""
"D1","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","1",""
"J1","USB-C","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","1",""
"J2","microSD","Connector_Card:microSD_HC_Hirose_DM3AT-SF-PEJM5","1",""
"LED1","GREEN","LED_SMD:LED_0603_1608Metric","1",""
"P1","PWR_FLAG","","1",""
"P2","PWR_FLAG","","1",""
"P3","PWR_FLAG","","1",""
"R1","10k","Resistor_SMD:R_0402_1005Metric","1",""
"R2","10k","Resistor_SMD:R_0402_1005Metric","1",""
"R3","5k1","Resistor_SMD:R_0402_1005Metric","1",""
"R4","5k1","Resistor_SMD:R_0402_1005Metric","1",""
"R5","1k","Resistor_SMD:R_0402_1005Metric","1",""
"R6","10k","Resistor_SMD:R_0402_1005Metric","1",""
"R8","10R","Resistor_SMD:R_0402_1005Metric","1",""
"R9","47k","Resistor_SMD:R_0402_1005Metric","1",""
"R10","47k","Resistor_SMD:R_0402_1005Metric","1",""
"R11","47k","Resistor_SMD:R_0402_1005Metric","1",""
"R12","47k","Resistor_SMD:R_0402_1005Metric","1",""
"R13","47k","Resistor_SMD:R_0402_1005Metric","1",""
"SW1","RESET","Button_Switch_SMD:SW_SPST_PTS645Sx43SMTR92","1",""
"SW2","BOOT0","Button_Switch_SMD:SW_SPST_PTS645Sx43SMTR92","1",""
"SW3","USER","Button_Switch_SMD:SW_SPST_PTS645Sx43SMTR92","1",""
"U1","STM32F411CEU6","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.15x5.15mm","1",""
"U2","AP2112K-3.3","Package_TO_SOT_SMD:SOT-23-5","1",""
"Y1","25MHz","Crystal:Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm","1",""
